id,species,genus,family,order,class,phylum,domain
VBOR01000009.1_0_7_1,WS-7 sp005893165,WS-7,SZUA-252,SZUA-252,RBG-16-71-46,Eisenbacteria,Bacteria
VBOR01000009.1_0_7_2,WS-7 sp005893165,WS-7,SZUA-252,SZUA-252,RBG-16-71-46,Eisenbacteria,Bacteria
VBOR01000009.1_1_7_1,WS-7 sp005893165,WS-7,SZUA-252,SZUA-252,RBG-16-71-46,Eisenbacteria,Bacteria
VBOR01000009.1_1_7_2,WS-7 sp005893165,WS-7,SZUA-252,SZUA-252,RBG-16-71-46,Eisenbacteria,Bacteria
PMOP01000016.1_0_7_1,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
PMOP01000016.1_0_7_2,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
PMOP01000016.1_1_7_1,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
PMOP01000016.1_1_7_2,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
PMOP01000016.1_2_7_1,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
PMOP01000016.1_2_7_2,Palsa-360 sp003161495,Palsa-360,UBA7541,UBA7541,Acidobacteriae,Acidobacteriota,Bacteria
DHUT01000069.1_0_7_1,Sedimentibacter sp002409285,Sedimentibacter,Sedimentibacteraceae,Tissierellales,Clostridia,Firmicutes_A,Bacteria
DHUT01000069.1_0_7_2,Sedimentibacter sp002409285,Sedimentibacter,Sedimentibacteraceae,Tissierellales,Clostridia,Firmicutes_A,Bacteria
JAAZAC010000025.1_0_7_1,Actinotalea sp012514545,Actinotalea,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JAAZAC010000025.1_0_7_2,Actinotalea sp012514545,Actinotalea,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
CAJCBY010000033.1_0_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_0_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_1_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_1_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_2_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_2_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_3_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_3_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_4_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_4_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_5_7_1,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
CAJCBY010000033.1_5_7_2,Aquirufa sp903960725,Aquirufa,Spirosomaceae,Cytophagales,Bacteroidia,Bacteroidota,Bacteria
JABXKY010000147.1_0_7_1,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABXKY010000147.1_0_7_2,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABXKY010000147.1_1_7_1,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABXKY010000147.1_1_7_2,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABXKY010000147.1_2_7_1,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABXKY010000147.1_2_7_2,RBG-16-57-9 sp013619005,RBG-16-57-9,TCS64,TCS64,Bathyarchaeia,Thermoproteota,Archaea
JABBOX010000109.1_0_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_0_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_1_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_1_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_2_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_2_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_3_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_3_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_4_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_4_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_5_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_5_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_6_7_1,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JABBOX010000109.1_6_7_2,UBA4719 sp012927555,UBA4719,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota,Bacteria
JAABRC010000419.1_0_0_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_0_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_1_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_1_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_2_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_2_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_3_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_3_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_4_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_4_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_5_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_5_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_6_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_6_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_7_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_0_7_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_1_7_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_1_7_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_2_7_1,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JAABRC010000419.1_2_7_2,JAABRC01 sp011391115,JAABRC01,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
CAAFRK010000216.1_0_0_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_0_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_1_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_1_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_2_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_2_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_3_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_3_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_4_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_4_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_5_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_5_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_6_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_6_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_7_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_0_7_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_1_7_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_1_7_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_2_7_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_2_7_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_3_7_1,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
CAAFRK010000216.1_3_7_2,Veillonella sp900765235,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_0_7_1,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_0_7_2,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_1_7_1,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_1_7_2,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_2_7_1,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
URSE01000035.1_2_7_2,Veillonella sp900550455,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes_C,Bacteria
UQEY01000009.1_0_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_0_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_1_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_1_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_2_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_2_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_3_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_3_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_4_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_4_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_5_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_5_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_6_7_1,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
UQEY01000009.1_6_7_2,Eubacterium_R sp900540235,Eubacterium_R,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A,Bacteria
NZ_LRTR01000260.1_0_7_1,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_0_7_2,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_1_7_1,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_1_7_2,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_2_7_1,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_2_7_2,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_3_7_1,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_3_7_2,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_4_7_1,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
NZ_LRTR01000260.1_4_7_2,Streptomyces europaeiscabiei,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteriota,Bacteria
JACMKV010000045.1_0_7_1,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_0_7_2,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_1_7_1,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_1_7_2,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_2_7_1,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_2_7_2,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_3_7_1,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_3_7_2,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_4_7_1,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
JACMKV010000045.1_4_7_2,JACMKV01 sp014379915,JACMKV01,JACMKV01,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_0_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_0_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_1_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_1_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_2_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_2_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_3_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_3_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_4_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_4_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_5_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_5_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_6_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_6_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_7_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_0_7_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_1_7_1,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CACNVV010000042.1_1_7_2,Pelagibacter sp902624015,Pelagibacter,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,Bacteria
WLHF01000026.1_0_0_1,Planktophila sp009702835,Planktophila,Nanopelagicaceae,Nanopelagicales,Actinomycetia,Actinobacteriota,Bacteria
